Type,StartDate,EndDate,Value,Unit
Sleep,2024-12-06T22:49:56Z,2024-12-06T22:50:26Z,3,Sleep Analysis
Sleep,2024-12-06T22:50:26Z,2024-12-06T22:50:56Z,2,Sleep Analysis
Sleep,2024-12-06T22:50:56Z,2024-12-06T22:58:26Z,3,Sleep Analysis
Sleep,2024-12-06T22:58:26Z,2024-12-06T22:59:56Z,2,Sleep Analysis
Sleep,2024-12-06T22:59:56Z,2024-12-06T23:12:56Z,3,Sleep Analysis
Sleep,2024-12-06T23:12:56Z,2024-12-06T23:31:26Z,4,Sleep Analysis
Sleep,2024-12-06T23:31:26Z,2024-12-06T23:31:56Z,3,Sleep Analysis
Sleep,2024-12-06T23:31:56Z,2024-12-06T23:35:56Z,4,Sleep Analysis
Sleep,2024-12-06T23:35:56Z,2024-12-06T23:37:26Z,3,Sleep Analysis
Sleep,2024-12-06T23:37:26Z,2024-12-06T23:50:56Z,5,Sleep Analysis
Sleep,2024-12-06T23:50:56Z,2024-12-07T00:10:56Z,3,Sleep Analysis
Sleep,2024-12-07T00:10:56Z,2024-12-07T00:13:26Z,4,Sleep Analysis
Sleep,2024-12-07T00:13:26Z,2024-12-07T00:27:26Z,3,Sleep Analysis
Sleep,2024-12-07T00:27:26Z,2024-12-07T00:40:26Z,4,Sleep Analysis
Sleep,2024-12-07T00:40:26Z,2024-12-07T00:59:56Z,3,Sleep Analysis
Sleep,2024-12-07T00:59:56Z,2024-12-07T01:16:56Z,5,Sleep Analysis
Sleep,2024-12-07T01:16:56Z,2024-12-07T02:07:26Z,3,Sleep Analysis
Sleep,2024-12-07T02:07:26Z,2024-12-07T02:07:56Z,2,Sleep Analysis
Sleep,2024-12-07T02:07:56Z,2024-12-07T02:45:56Z,3,Sleep Analysis
Sleep,2024-12-07T02:45:56Z,2024-12-07T03:13:56Z,5,Sleep Analysis
Sleep,2024-12-07T03:13:56Z,2024-12-07T03:14:26Z,2,Sleep Analysis
Sleep,2024-12-07T03:14:26Z,2024-12-07T03:55:56Z,3,Sleep Analysis
Sleep,2024-12-07T03:55:56Z,2024-12-07T03:57:26Z,2,Sleep Analysis
Sleep,2024-12-07T03:57:26Z,2024-12-07T04:11:26Z,3,Sleep Analysis
Sleep,2024-12-07T04:11:26Z,2024-12-07T04:30:56Z,5,Sleep Analysis
Sleep,2024-12-07T04:30:56Z,2024-12-07T04:32:56Z,2,Sleep Analysis
Sleep,2024-12-07T04:32:56Z,2024-12-07T04:46:26Z,3,Sleep Analysis
Sleep,2024-12-07T04:46:26Z,2024-12-07T04:47:56Z,2,Sleep Analysis
Sleep,2024-12-07T04:47:56Z,2024-12-07T05:21:26Z,3,Sleep Analysis
Sleep,2024-12-07T05:21:26Z,2024-12-07T06:04:56Z,5,Sleep Analysis
Sleep,2024-12-07T06:04:56Z,2024-12-07T06:26:56Z,3,Sleep Analysis
Sleep,2024-12-07T06:26:56Z,2024-12-07T06:27:56Z,2,Sleep Analysis
Sleep,2024-12-07T06:27:56Z,2024-12-07T06:30:26Z,3,Sleep Analysis
Sleep,2024-12-07T06:30:26Z,2024-12-07T06:32:56Z,2,Sleep Analysis
Sleep,2024-12-07T06:32:56Z,2024-12-07T06:33:56Z,3,Sleep Analysis
Sleep,2024-12-07T06:33:56Z,2024-12-07T06:34:56Z,2,Sleep Analysis
Sleep,2024-12-07T06:34:56Z,2024-12-07T06:49:26Z,3,Sleep Analysis
Blood Glucose,2024-12-06T09:18:41Z,,75.0,mg/dL
Blood Glucose,2024-12-06T09:23:40Z,,76.0,mg/dL
Blood Glucose,2024-12-06T09:28:41Z,,81.0,mg/dL
Blood Glucose,2024-12-06T09:33:41Z,,92.0,mg/dL
Blood Glucose,2024-12-06T09:38:41Z,,98.0,mg/dL
Blood Glucose,2024-12-06T09:43:41Z,,103.0,mg/dL
Blood Glucose,2024-12-06T09:48:40Z,,108.0,mg/dL
Blood Glucose,2024-12-06T09:53:40Z,,110.0,mg/dL
Blood Glucose,2024-12-06T09:58:40Z,,112.0,mg/dL
Blood Glucose,2024-12-06T10:03:40Z,,109.0,mg/dL
Blood Glucose,2024-12-06T10:08:40Z,,106.0,mg/dL
Blood Glucose,2024-12-06T10:13:40Z,,105.0,mg/dL
Blood Glucose,2024-12-06T10:18:40Z,,99.0,mg/dL
Blood Glucose,2024-12-06T10:23:40Z,,97.0,mg/dL
Blood Glucose,2024-12-06T10:28:40Z,,96.0,mg/dL
Blood Glucose,2024-12-06T10:33:41Z,,96.0,mg/dL
Blood Glucose,2024-12-06T10:38:40Z,,93.0,mg/dL
Blood Glucose,2024-12-06T10:43:40Z,,91.0,mg/dL
Blood Glucose,2024-12-06T10:48:40Z,,87.0,mg/dL
